Barcode,Title,Status,Type,Location,Genre
LSPUL000008122,Basic calculus,Available,Book,General Collection,Pure Sciences
LSPUL000008131,Basic calculus,Available,Book,General Collection,Pure Sciences
LSPUL000008134,Basic calculus,Available,Book,General Collection,Pure Sciences
LSPUL000010493,Basic Calculus : For Senior High School,Available,Paperback,Filipiniana,Pure Sciences
LSPUL000010563,Basic Calculus : For Senior High School,Available,Paperback,Filipiniana,Pure Sciences
LSPUL000010564,Basic Calculus : For Senior High School,Available,Paperback,Filipiniana,Pure Sciences
LSPUL000010565,Basic Calculus : For Senior High School,Available,Paperback,Filipiniana,Pure Sciences
LSPUL000010566,Basic Calculus : For Senior High School,Available,Paperback,Filipiniana,Pure Sciences
EBOOK000000143,Basic engineering mathematics,Available,E-Book,Electronic Resources,Pure Sciences
LSPUL000011517,Basic statistics for research,Available,Book,Filipiniana,Pure Sciences
LSPUL000008977,Bayesian statistics: an introduction,Available,Book,Graduate Studies,Pure Sciences
LSPUL000005684,Becker's world of the cell,Available,Paperback,General Collection,Pure Sciences
LSPUL000005687,Becker's world of the cell,Available,Paperback,General Collection,Pure Sciences
LSPUL000009250,"Benson's microbiological applications : laboratory manual in general microbiology, complete version",Available,Book,General Collection,Pure Sciences
LSPUL000005501,Biochemistry,Available,Paperback,General Collection,Pure Sciences
LSPUL000005507,Biochemistry,Available,Paperback,General Collection,Pure Sciences
LSPUL000005508,Biochemistry,Not Available,Paperback,General Collection,Pure Sciences
LSPUL000005511,Biochemistry,Available,Paperback,General Collection,Pure Sciences
LSPUL000001066,Bioinorganic chemistry : inorganic elements in the chemistry of life : an introduction and guide,Available,Book,General Collection,Pure Sciences
LSPUL000000979,Calculus for scientists and engineers,Available,Book,General Collection,Pure Sciences
LSPUL000009851,Calculus with applications to business and economics,Available,Paperback,General Collection,Pure Sciences
LSPUL000009852,Calculus with applications to business and economics,Available,Paperback,General Collection,Pure Sciences
LSPUL000009853,Calculus with applications to business and economics,Available,Paperback,General Collection,Pure Sciences
LSPUL000009995,Campbell Biology : Concepts and Connections,Available,Paperback,General Collection,Pure Sciences
LSPUL000001914,Chemical principles for organic chemistry,Available,Book,General Collection,Pure Sciences
LSPUL000006429,Discrete mathematics and its applications,Available,Book,General Collection,Pure Sciences
LSPUL000007346,Discrete mathematics and its applications,Available,Book,General Collection,Pure Sciences
LSPUL000008857,Diversifying mathematics teaching : advanced educational content and methods for prospective elementary teachers,Available,Book,General Collection,Pure Sciences
EBOOK000000109,Doing statistical analysis : a student's guide to quantitative research,Available,E-Book,Electronic Resources,Pure Sciences
LSPUL000008384,Elementary algebra,Available,Book,General Collection,Pure Sciences
LSPUL000005670,Elementary and intermediate algebra,Available,Hardcover,General Collection,Pure Sciences
LSPUL000006362,Elementary differential equations,Not Available,Book,General Collection,Pure Sciences
LSPUL000006604,Elementary differential equations,Available,Book,General Collection,Pure Sciences
LSPUL000009515,Elementary differential equations and boundary value problems,Available,Paperback,General Collection,Pure Sciences
LSPUL000009516,Elementary differential equations and boundary value problems,Available,Paperback,General Collection,Pure Sciences
LSPUL000009517,Elementary differential equations and boundary value problems,Available,Paperback,General Collection,Pure Sciences
LSPUL000010368,Elementary Linear Algebra,Available,Paperback,General Collection,Pure Sciences
LSPUL000010369,Elementary Linear Algebra,Available,Paperback,General Collection,Pure Sciences
LSPUL000001989,Foundations of parasitology,Available,Paperback,General Collection,Pure Sciences
LSPUL000003736,Fourier and Laplace transforms,Available,Book,General Collection,Pure Sciences
LSPUL000003737,Fourier and Laplace transforms,Not Available,Book,General Collection,Pure Sciences
LSPUL000008979,Functional analysis for probability and stochastic processes : an introduction,Available,Book,Graduate Studies,Pure Sciences
LSPUL000008992,Functional analysis for probability and stochastic processes : an introduction,Available,Book,Graduate Studies,Pure Sciences
LSPUL000008978,The functional analysis of English : a Hallidayan approach,Available,Book,Graduate Studies,Pure Sciences
EBOOK000000031,General biology,Available,E-Book,Electronic Resources,Pure Sciences
LSPUL000010463,General Botany with Taxonomy : Text-Workbook,Available,Paperback,Filipiniana,Pure Sciences
LSPUL000005203,2.5 - 5 Tons Package Aircon Specialist : Book 20,Available,Book,General Collection,Technology
LSPUL000005314,2.5 - 5 Tons Package Aircon Specialist : Book 21,Available,Book,General Collection,Technology
LSPUL000005315,2.5 - 5 Tons Package Aircon Specialist : Book 22,Available,Book,General Collection,Technology
LSPUL000005316,2.5 - 5 Tons Package Aircon Specialist : Book 23,Available,Book,General Collection,Technology
LSPUL000007845,3D printing and CNC fabrication with sketchUp,Available,Paperback,General Collection,Technology
LSPUL000009546,"3D printing for artists, designers and makers",Available,Book,General Collection,Technology
LSPUL000005119,5TR Room Aircon Specialist : Tutorial Guide/Fast & Easy Way Book 9,Available,Book,General Collection,Technology
LSPUL000005120,5TR Room Aircon Specialist : Tutorial Guide/Fast & Easy Way Book 10,Available,Book,General Collection,Technology
LSPUL000005121,5TR Room Aircon Specialist : Tutorial Guide/Fast & Easy Way Book 11,Available,Book,General Collection,Technology
LSPUL000006267,5TR Room Aircon Specialist : Tutorial Guide/Fast & Easy Way Book 12,Available,Book,General Collection,Technology
LSPUL000000110,The 7 secrets to change for your total health and wellness,Available,Book,Nursing & AH,Technology
LSPUL000001079,Accounting for decision making and control,Available,Book,General Collection,Technology
LSPUL000006076,Accounting for hotel and restaurant management and tourism industry,Available,Paperback,General Collection,Technology
LSPUL000006077,Accounting for hotel and restaurant management and tourism industry,Available,Paperback,General Collection,Technology
LSPUL000006078,Accounting for hotel and restaurant management and tourism industry,Available,Paperback,General Collection,Technology
LSPUL000006079,Accounting for hotel and restaurant management and tourism industry,Available,Paperback,General Collection,Technology
LSPUL000003308,Accounting for hotel and restaurant management and tourism industry,Available,Paperback,General Collection,Technology
LSPUL000003309,Accounting for hotel and restaurant management and tourism industry,Available,Paperback,General Collection,Technology
LSPUL000003296,Advanced control engineering,Available,Book,General Collection,Technology
LSPUL000010317,Advanced Critical Care Nursing,Available,Paperback,Nursing & AH,Technology
LSPUL000001462,"Advanced home wiring : current with codes through 2014 : DC circuits, transfer switches, panel upgrades, circuit maps, much more.",Available,Book,General Collection,Technology
LSPUL000008425,Advanced practice nursing : essential knowledge for the profession,Available,Book,Nursing & AH,Technology
LSPUL000011748,AFAR quick notes,Available,Book,CBAA Library,Technology
LSPUL000011749,AFAR quick notes,Available,Book,CBAA Library,Technology
LSPUL000011750,AFAR quick notes,Available,Book,CBAA Library,Technology
LSPUL000003413,Agriscience & technology,Available,Book,General Collection,Technology
LSPUL000005247,Agrometeorology : principles and applications of climate studies in agriculture,Available,Book,General Collection,Technology
LSPUL000002163,Air conditioning and refregeration technology,Available,Paperback,General Collection,Technology
LSPUL000003114,Blueprint reading and drafting for plumbers,Available,Book,General Collection,Technology
LSPUL000010791,The Boat Cookbook : Real food for hungry sailors,Available,Paperback,General Collection,Technology
LSPUL000003519,The Bon appétit cookbook,Available,Book,General Collection,Technology
LSPUL000003457,The book of hors d'oeuvres and canapes,Available,Book,General Collection,Technology
LSPUL000003454,Bread : a baker's book of techniques and recipes,Available,Book,General Collection,Technology
LSPUL000010020,Bread and Pastry Production : For Senior High School,Available,Paperback,Filipiniana,Technology
LSPUL000003257,Business analysis & valuation : using financial statements : text & cases,Available,Book,General Collection,Technology
LSPUL000003527,Business analysis & valuation : using financial statements : text & cases,Available,Book,General Collection,Technology
LSPUL000010343,Business Analytics : Data Analysis and Decision Making,Available,Hardcover,General Collection,Technology
LSPUL000009090,Business communication and report writing : a practical approach,Available,Book,Filipiniana,Technology
LSPUL000009134,Business communication and report writing : a practical approach,Available,Book,Filipiniana,Technology
LSPUL000011806,Business communication and report writing : a practical approach,Available,Book,Filipiniana,Technology
LSPUL000011857,Business communication and report writing : a practical approach,Available,Book,Filipiniana,Technology
LSPUL000007697,Business communication : building critical skills,Available,Paperback,General Collection,Technology
LSPUL000007698,Business communication : building critical skills,Available,Paperback,General Collection,Technology
LSPUL000007699,Business communication : building critical skills,Available,Paperback,General Collection,Technology
LSPUL000002510,Clinical pharmacology and therapeutics : questions for self assessment,Available,Book,General Collection,Technology
LSPUL000004314,Clinical practice,Available,Book,General Collection,Technology
LSPUL000011212,Community and public health nursing,Available,Book,Nursing & AH,Technology
LSPUL000011214,Community and public health nursing,Available,Book,Nursing & AH,Technology
LSPUL000011822,Community and public health nursing,Available,Book,Nursing & AH,Technology
LSPUL000011824,Community and public health nursing,Available,Book,Nursing & AH,Technology
LSPUL000011825,Community and public health nursing,Available,Book,Nursing & AH,Technology
LSPUL000004271,Community Health Management Manual for Nursing Students : Community Exposure,Available,Book,General Collection,Technology
LSPUL000004272,Community Health Management Manual for Nursing Students : Community Exposure,Available,Book,General Collection,Technology
LSPUL000004273,Community Health Management Manual for Nursing Students : Community Exposure,Available,Book,General Collection,Technology
LSPUL000004274,Community Health Management Manual for Nursing Students : Community Exposure,Available,Book,General Collection,Technology
LSPUL000004275,Community Health Management Manual for Nursing Students : Community Exposure,Available,Book,General Collection,Technology
LSPUL000003281,Dawes Electrical Engineering : International Student Edition,Available,Book,General Collection,Technology
LSPUL000003210,DC theory,Available,Book,General Collection,Technology
LSPUL000009141,Decision making: 5 steps to better results,Available,Book,General Collection,Technology
LSPUL000002496,Deja review : obstetrics & gynecology,Available,Book,General Collection,Technology
LSPUL000001621,"1000 artisan textiles : contemporary fiber art, quilts, and wearables",Available,Book,General Collection,The Arts
LSPUL000001622,"1000 product designs : form, function, and technology from around the world",Available,Book,General Collection,The Arts
LSPUL000002089,"1000 quilt inspirations : colorful and creative deesigns for traditional, modern, and art quilts",Available,Book,General Collection,The Arts
LSPUL000000007,Adobe Premiere Elements 10 : classroom in a book,Available,Book,General Collection,The Arts
LSPULCD000007,Adobe Premiere Elements 10 : classroom in a book,Available,CD,Multimedia Center,The Arts
LSPUL000011939,All-inclusive engagement in architecture : towards the future of social change,Available,Book,General Collection,The Arts
LSPUL000003158,"An American vision : three generations of Wyeth art : N.C. Wyeth, Andrew Wyeth, James Wyeth",Available,Book,General Collection,The Arts
LSPUL000003159,"An American vision : three generations of Wyeth art : N.C. Wyeth, Andrew Wyeth, James Wyeth",Available,Book,General Collection,The Arts
LSPUL000003160,Andrew Wyeth : the Helga pictures,Available,Book,General Collection,The Arts
LSPUL000003161,Andrew Wyeth : the Helga pictures,Available,Book,General Collection,The Arts
LSPUL000003162,Andrew Wyeth : the Helga pictures,Available,Book,General Collection,The Arts
LSPUL000003163,Andrew Wyeth : the Helga pictures,Available,Book,General Collection,The Arts
LSPUL000003164,Andrew Wyeth : the Helga pictures,Available,Book,General Collection,The Arts
LSPUL000003142,The animator's reference book,Available,Book,General Collection,The Arts
LSPUL000003166,The animator's reference book,Available,Book,General Collection,The Arts
LSPUL000000990,Before building : site planning in the digital age,Available,Book,General Collection,The Arts
LSPUL000010489,Beginning Musical Theatre Dance,Available,Paperback,General Collection,The Arts
LSPUL000012023,Building services design for energy efficient buildings,Available,Book,General Collection,The Arts
LSPUL000012112,C# game programming cookbook for unity 3D,Available,Book,General Collection,The Arts
LSPUL000002086,Calligraphy 101 : a workshop in a book,Available,Book,General Collection,The Arts
LSPUL000001865,Career guide : fashion industry,Available,Book,General Collection,The Arts
LSPULCD0001865,Career guide : fashion industry,Available,CD,Multimedia Center,The Arts
LSPUL000007250,Chess for beginners : a picture guide,Available,Book,General Collection,The Arts
LSPUL000010485,Choosing the perfect colour and pattern in design,Available,Hardcover,General Collection,The Arts
LSPUL000000827,Coaching and mentoring : theory and practice,Available,Book,General Collection,The Arts
LSPUL000009255,Dance for life health optimizing physical education for senior high school,Available,Paperback,Filipiniana,The Arts
LSPUL000009693,Dance for life health optimizing physical education for senior high school,Available,Paperback,Filipiniana,The Arts
LSPUL000009696,Dance for life health optimizing physical education for senior high school,Available,Paperback,Filipiniana,The Arts
LSPUL000009701,Dance for life health optimizing physical education for senior high school,Available,Paperback,Filipiniana,The Arts
LSPUL000009702,Dance for life health optimizing physical education for senior high school,Available,Paperback,Filipiniana,The Arts
LSPUL000009703,Dance for life health optimizing physical education for senior high school,Available,Paperback,Filipiniana,The Arts
LSPUL000009879,Designbuild education,Available,Book,General Collection,The Arts
LSPUL000003134,Designing tall buildings : structure as architecture,Available,Book,General Collection,The Arts
LSPUL000009824,Dictionary of architecture & construction,Available,Book,Gen Ref,The Arts
LSPUL000003140,The digital matte painting handbook,Available,Book,General Collection,The Arts
LSPUL000011491,Doing research design,Available,Book,General Collection,The Arts
LSPUL000007248,"Egyptian art through the ages : an exhibition of art objects from the Arab Republic of Egypt at the Legislative Building, Manila, Philippines, 27 September 1976 to 27 March 1977",Available,Book,General Collection,The Arts
LSPUL000003472,Enhancing creativity among Filipino children,Available,Book,General Collection,The Arts
LSPUL000003473,Enhancing creativity among Filipino children,Available,Book,General Collection,The Arts
LSPUL000003474,Enhancing creativity among Filipino children,Available,Book,General Collection,The Arts
LSPUL000009084,Essential Brazilian jiu jitsu : [an illustrated guide to the fighting art],Available,Book,General Collection,The Arts
LSPUL000008338,The essential theatre,Available,Book,General Collection,The Arts
LSPUL000001866,Fashion design and garment technology,Available,Paperback,General Collection,The Arts
LSPULCD0001866,Fashion design and garment technology,Available,CD,Multimedia Center,The Arts
LSPUL000002080,Fashion design for living,Available,Book,General Collection,The Arts
LSPUL000001105,"The fashion file : advice, tips, and inspiration from the costume designer of Mad men",Available,Book,General Collection,The Arts
LSPUL000001858,Fashion merchandising,Available,Paperback,General Collection,The Arts
LSPUL000002167,Fashion merchandising,Available,Paperback,General Collection,The Arts
LSPUL000010945,Film History : An Introduction,Available,Paperback,General Collection,The Arts
LSPUL000003278,Food styling & photography for dummies,Available,Book,General Collection,The Arts
LSPUL000009054,Game development essentials : video game art,Available,Book,General Collection,The Arts
LSPULCD0009054,Game development essentials : video game art,Available,CD,Non-Print Section,The Arts
LSPUL000003135,Gardner's art through the ages : a global history,Available,Book,General Collection,The Arts
LSPUL000009999,The Green Screen Maker Space : Project book,Available,Paperback,General Collection,The Arts
LSPUL000007799,Guitar rhythm & technique for dummies,Available,Paperback,General Collection,The Arts
LSPUL000000937,The handbook of physical education,Available,Paperback,General Collection,The Arts
LSPUL000000342,Handicrafts handbook,Available,Book,General Collection,The Arts
LSPUL000003141,The healthy home : beautiful interiors that enhance the environment and your well-being,Available,Book,General Collection,The Arts
LSPUL000001063,A history and philosophy of sport and physical education : from ancient civilizations to the modern world,Available,Book,General Collection,The Arts
LSPUL000009969,How video games impact players : the pitfalls and benefits of a gaming society,Available,Paperback,General Collection,The Arts
LSPUL000007457,13 fatal errors managers make and how you can avoid them,Available,Book,General Collection,Literature and Rhetoric
LSPUL000004553,"100 aklat sa aking pagkamulat : pagbasa, dagling-suri, at paanyaya",Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000004860,"101 aklat sa aking pagkamulat : pagbasa, dagling-suri, at paanyaya",Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000004865,"102 aklat sa aking pagkamulat : pagbasa, dagling-suri, at paanyaya",Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000004871,"103 aklat sa aking pagkamulat : pagbasa, dagling-suri, at paanyaya",Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000010946,100 and more inspiring quotes to live by,Available,Book,Filipiniana,Literature and Rhetoric
LSPUL000002037,A companion to the philosophy of literature,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000004750,A treasury of world literature,Available,Book,General Collection,Literature and Rhetoric
LSPUL000006581,A treasury of world literature,Available,Book,General Collection,Literature and Rhetoric
LSPUL000006622,A treasury of world literature,Available,Book,General Collection,Literature and Rhetoric
LSPUL000007174,A treasury of world literature,Available,Book,General Collection,Literature and Rhetoric
LSPUL000010947,Adaptation in Contemporary Theatre : Performing Literature,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000007668,Adventures of Huckleberry Finn : Tom Sawyer's comrade,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000006977,The Adventures of Sherlock Holmes,Available,Book,Fiction,Literature and Rhetoric
LSPUL000004529,Mga agos sa disyerto : maiikling kathang Filipino,Available,Book,General Collection,Literature and Rhetoric
LSPUL000007451,Back to the moon,Available,Book,Fiction,Literature and Rhetoric
LSPUL000006917,"Bata, bata... pa'no ka ginawa",Available,Book,Fiction,Literature and Rhetoric
LSPUL000007427,"Bata, bata... pa'no ka ginawa",Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007456,"Bata, bata... pa'no ka ginawa",Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007465,"Bata, bata... pa'no ka ginawa",Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007588,"Bata, bata... pa'no ka ginawa",Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007895,"Bata, bata... pa'no ka ginawa",Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000009598,Broadcasting news writing reporting and producing,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000008903,Building a speech,Available,Book,Graduate Studies,Literature and Rhetoric
LSPUL000007441,Canal de la Reina,Available,Book,Fiction,Literature and Rhetoric
LSPUL000009256,21 st-century literature from the Philippines and the world for senior high school,Available,Paperback,Filipiniana,Literature and Rhetoric
LSPUL000009257,22 st-century literature from the Philippines and the world for senior high school,Available,Paperback,Filipiniana,Literature and Rhetoric
LSPUL000009258,23 st-century literature from the Philippines and the world for senior high school,Available,Paperback,Filipiniana,Literature and Rhetoric
LSPUL000009259,24 st-century literature from the Philippines and the world for senior high school,Available,Paperback,Filipiniana,Literature and Rhetoric
LSPUL000001064,Charlotte Huck's children's literature : a brief guide,Available,Book,General Collection,Literature and Rhetoric
LSPUL000009414,Childrens literature,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000009037,Children's picturebooks : the art of visual storytelling,Available,Book,General Collection,Literature and Rhetoric
LSPUL000000546,Climbing the ladder of success through business writing,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000000547,Climbing the ladder of success through business writing,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000000548,Climbing the ladder of success through business writing,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000004554,Collected works,Available,Book,General Collection,Literature and Rhetoric
LSPUL000010031,College Writing Skills with Readings,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000008999,Contemporary business report writing,Available,Book,Graduate Studies,Literature and Rhetoric
LSPUL000006972,The Da Vinci code : a novel,Available,Book,Fiction,Literature and Rhetoric
LSPUL000010779,Daughter of Fortune,Available,Paperback,Fiction,Literature and Rhetoric
LSPUL000007439,Deception point,Available,Book,Fiction,Literature and Rhetoric
LSPU000007899,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007445,Dekada '70,Available,Book,Fiction,Literature and Rhetoric
LSPUL000007466,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007467,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007625,Dekada '70,Available,Book,Fiction,Literature and Rhetoric
LSPUL000007665,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007897,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007898,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007899,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007900,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000007904,Dekada '70,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000006955,Desaparesidos : ang bagong nobela,Available,Book,General Collection,Literature and Rhetoric
LSPUL000007590,Desaparesidos : ang bagong nobela,Available,Book,Fiction,Literature and Rhetoric
LSPUL000007931,Eaters of the dead : the manuscript of Ibn Fadlan relating his experiences with the Northmen in A.D. 922,Not Available,Book,Fiction,Literature and Rhetoric
LSPUL000000540,Effective business and technical writing in the corporate world,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000000541,Effective business and technical writing in the corporate world,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000000542,Effective business and technical writing in the corporate world,Available,Paperback,General Collection,Literature and Rhetoric
LSPUL000004742,Effective speech communication : for filipinos,Available,Book,General Collection,Literature and Rhetoric
LSPUL000004565,"Effective writing in psychology : papers, posters, and presentations",Available,Book,General Collection,Literature and Rhetoric
LSPUL000011809,Ang inuki na kaalaman bayan ng Paete,Available,Book,Filipiniana,Geography and History
LSPUL000001243,Asya noon at ngayon,Available,Paperback,Filipiniana,Geography and History
LSPUL000001244,Asya noon at ngayon,Available,Paperback,Filipiniana,Geography and History
LSPUL000001245,Asya noon at ngayon,Available,Paperback,Filipiniana,Geography and History
LSPUL000011853,"Baler, Aurora",Available,Book,Gen Ref,Geography and History
LSPUL000011957,Batis : source in Philippine history,Available,Book,Filipiniana,Geography and History
LSPUL000011958,Batis : source in Philippine history,Available,Book,Filipiniana,Geography and History
LSPUL000011959,Batis : source in Philippine history,Available,Book,Filipiniana,Geography and History
LSPUL000001794,Batis sources in Philippine history,Available,Paperback,Filipiniana,Geography and History
LSPUL000001795,Batis sources in Philippine history,Available,Paperback,Filipiniana,Geography and History
LSPUL000001796,Batis sources in Philippine history,Available,Paperback,Filipiniana,Geography and History
LSPUL000001797,Batis sources in Philippine history,Available,Paperback,Filipiniana,Geography and History
LSPUL000011589,Buhay at diwa ng pambansang bayani ng Pilipinas : Dr. Jose P. Rizal,Available,Book,Filipiniana,Geography and History
LSPUL000011590,Buhay at diwa ng pambansang bayani ng Pilipinas : Dr. Jose P. Rizal,Available,Book,Filipiniana,Geography and History
LSPUL000011591,Buhay at diwa ng pambansang bayani ng Pilipinas : Dr. Jose P. Rizal,Available,Book,Filipiniana,Geography and History
LSPUL000011592,Buhay at diwa ng pambansang bayani ng Pilipinas : Dr. Jose P. Rizal,Available,Book,Filipiniana,Geography and History
LSPUL000011602,Buhay at diwa ng pambansang bayani ng Pilipinas : Dr. Jose P. Rizal,Available,Book,Filipiniana,Geography and History
LSPUL000008834,Co-creating tourism research : towards collaborative ways of knowing,Available,Book,General Collection,Geography and History
LSPUL000011963,The Contemporary world,Available,Book,Filipiniana,Geography and History
LSPUL000011964,The Contemporary world,Available,Book,Filipiniana,Geography and History
LSPUL000011965,The Contemporary world,Available,Book,Filipiniana,Geography and History
LSPUL000010196,The Contemporary World : Outcome-based module,Available,Paperback,Filipiniana,Geography and History
LSPUL000010197,The Contemporary World : Outcome-based module,Available,Paperback,Filipiniana,Geography and History
LSPUL000010800,The Contemporary World : Outcome-based module,Available,Paperback,Filipiniana,Geography and History
LSPUL000000101,Cultural tourism research methods,Available,Paperback,General Collection,Geography and History
LSPUL000000284,Down to earth rizal: reviews of critical readings in the life and the works of jose rizal,Available,Paperback,Filipiniana,Geography and History
LSPUL000000285,Down to earth rizal: reviews of critical readings in the life and the works of jose rizal,Available,Paperback,Filipiniana,Geography and History
LSPUL000000286,Down to earth rizal: reviews of critical readings in the life and the works of jose rizal,Available,Paperback,Filipiniana,Geography and History
LSPUL000011613,Endless journey : a memoir,Available,Book,Filipiniana,Geography and History
LSPUL000002950,Exploring prehistory : how archaeology reveals our past,Available,Book,General Collection,Geography and History
LSPUL000002951,Exploring prehistory : how archaeology reveals our past,Available,Book,General Collection,Geography and History
LSPUL000002952,Exploring prehistory : how archaeology reveals our past,Available,Book,General Collection,Geography and History
LSPUL000002953,Exploring prehistory : how archaeology reveals our past,Available,Book,General Collection,Geography and History
LSPUL000002954,Exploring prehistory : how archaeology reveals our past,Available,Book,General Collection,Geography and History
LSPUL000005634,Exploring prehistory : how archaeology reveals our past,Available,Book,General Collection,Geography and History
LSPUL000006563,The Filipinos and their struggles for freedom and survival : a textbook in Philippine history for college students,Available,Book,Filipiniana,Geography and History
LSPUL000006564,The Filipinos and their struggles for freedom and survival : a textbook in Philippine history for college students,Available,Book,Filipiniana,Geography and History
LSPUL000006567,The Filipinos and their struggles for freedom and survival : a textbook in Philippine history for college students,Available,Book,Filipiniana,Geography and History
LSPUL000011843,"Gat Andres Bonifacio : huwaran ng katapangan, sandigan ng kabayanihan (isang pagunita sa ika-150 taong anibersaryo ng kapanganakan ng supremo ng katipunan)",Available,Book,Filipiniana,Geography and History
LSPUL000011844,"Gat Andres Bonifacio : huwaran ng katapangan, sandigan ng kabayanihan (isang pagunita sa ika-150 taong anibersaryo ng kapanganakan ng supremo ng katipunan)",Available,Book,Filipiniana,Geography and History
EBOOK000000201,Geographic Information Systems and Applications in Coastal Studies,Available,E-Book,Electronic Resources,Geography and History
LSPUL000001135,Harvest and other stories,Available,Paperback,Fiction,Geography and History
LSPUL000011849,Historical dictionary of the Philippines,Available,Book,Gen Ref,Geography and History
LSPUL000007570,History and international relations : from the ancient world to the 21st century,Available,Book,General Collection,Geography and History
LSPUL000007179,History of Asian nations,Available,Book,Filipiniana,Geography and History
LSPUL000011615,History of Hacienda de Imus 1590-1910,Available,Book,Filipiniana,Geography and History
LSPUL000011845,History of Hacienda de Imus 1590-1911,Available,Book,Filipiniana,Geography and History
LSPUL000004608,A history of Southeast Asia,Available,Book,General Collection,Geography and History
LSPUL000006089,History of the Filipino People,Available,Book,Filipiniana,Geography and History
LSPUL000008228,"The Icon revised Rizal (his life, works, writings) and the other heroes : (The free hand modular approach)",Available,Book,Filipiniana,Geography and History
LSPUL000008229,"The Icon revised Rizal (his life, works, writings) and the other heroes : (The free hand modular approach)",Available,Book,Filipiniana,Geography and History
LSPUL000008233,"The Icon revised Rizal (his life, works, writings) and the other heroes : (The free hand modular approach)",Available,Book,Filipiniana,Geography and History
LSPUL000008236,"The Icon revised Rizal (his life, works, writings) and the other heroes : (The free hand modular approach)",Available,Book,Filipiniana,Geography and History
LSPUL000007740,Introduction to geographic information systems,Available,Paperback,General Collection,Geography and History
LSPUL000006627,Introduction to geography,Available,Book,General Collection,Geography and History
LSPUL000000302,"Jose rizal, biography, legacies, love life, and collaborations with other heroes",Available,Paperback,Filipiniana,Geography and History
LSPUL000000303,"Jose rizal, biography, legacies, love life, and collaborations with other heroes",Available,Paperback,Filipiniana,Geography and History
LSPUL000000304,"Jose rizal, biography, legacies, love life, and collaborations with other heroes",Available,Paperback,Filipiniana,Geography and History
LSPUL000001644,"Jose Rizal : buhay, mga ginawa at mga sinulat ng isang henyo, manunulat, siyentipiko, at pambansang bayani",Available,Book,General Collection,Geography and History
LSPUL000006653,"Jose Rizal : life, works, and writings of a genius, writer, scientist, and national hero",Available,Book,General Collection,Geography and History